user_id,name,professional summary,about me,mbti,location,career goal,Industry
U031,pooja,"DevOps specialist skilled in Jenkins, Docker, Kubernetes, and automated monitoring pipelines.",I enjoy streamlining deployments and ensuring infrastructure reliability.,INTJ,Hyderabad,Start edtech company,Healthcare Analytics
U032,aditya,"Business intelligence analyst specializing in KPI reporting, SQL dashboards, and market trend analysis.",I enjoy translating raw data into strategic business recommendations.,ENTP,Delhi,Research explainable AI,FinTech
U033,rashmi,Mobile developer building Android and cross-platform applications using Flutter and Firebase.,I enjoy rapid prototyping and delivering seamless mobile experiences.,INFP,Chennai,Work in autonomous systems,Cybersecurity
U034,tanmay,"Backend engineer focused on scalable APIs, authentication systems, and database optimization.",I enjoy writing maintainable backend code and solving architectural challenges.,ENFP,Nagpur,Become DevOps specialist,Cloud Computing
U035,isha,"Product designer working on UX research, interaction design, and digital product workflows.",I enjoy understanding user pain points and turning them into elegant solutions.,ISTJ,Pune,Build recommender systems,EdTech
U036,mohit,"ML researcher working on reinforcement learning, optimization algorithms, and decision systems.",I enjoy academic exploration and solving complex learning problems.,ESFJ,Mumbai,Work in business intelligence,E-commerce
U037,nehal,"Software engineer specializing in Java, Spring Boot, and enterprise backend systems.",I enjoy designing modular systems and collaborating in agile environments.,ISTP,Bengaluru,Lead UX strategy teams,Business Intelligence
U038,kavya,"Data engineer experienced in ETL pipelines, Spark, data lakes, and warehouse optimization.",I enjoy building reliable data workflows and ensuring data accessibility.,ESTP,Hyderabad,Develop smart IoT systems,IoT
U039,abhishek,"Blockchain engineer focused on decentralized finance, smart contracts, and secure ledger systems.",I enjoy exploring Web3 ecosystems and building trustless applications.,INFJ,Delhi,Become data engineer,Automotive AI
U040,diya,"AI product analyst working on user behavior insights, experimentation, and recommendation optimization.",I enjoy connecting analytics with product growth strategies.,INTP,Chennai,Build computer vision products,Artificial Intelligence
U041,harsh,"Full stack developer experienced in MERN stack, REST APIs, and cloud-hosted deployments.",I enjoy building end-to-end applications and solving integration issues.,ENTJ,Nagpur,Become AI Research Scientist,Healthcare Analytics
U042,sakshi,"QA automation engineer focused on Selenium, Cypress, and API regression testing.",I enjoy ensuring software reliability and improving testing coverage.,ISFP,Pune,Lead ML Product Team,FinTech
U043,yug,"Embedded systems engineer working on IoT devices, firmware, and low-level communication protocols.",I enjoy hardware-software integration and real-world system design.,ESFP,Mumbai,Build scalable SaaS startup,Cybersecurity
U044,aarohi,"NLP engineer specializing in text classification, semantic search, and chatbot pipelines.",I enjoy language technologies and building meaningful conversational systems.,ENFJ,Bengaluru,Work in data-driven healthcare,Cloud Computing
U045,manas,"Game AI developer working on NPC behavior, pathfinding algorithms, and Unity game systems.",I enjoy interactive storytelling and designing intelligent gameplay experiences.,INTJ,Hyderabad,Become cybersecurity architect,EdTech
U046,saanvi,"HR data analyst focused on people analytics, workforce optimization, and recruitment dashboards.",I enjoy combining empathy with data-driven organizational improvements.,ISTJ,Delhi,Transition into product management,E-commerce
U047,tejas,"Robotics software engineer experienced in ROS, sensor fusion, and autonomous navigation systems.",I enjoy hands-on experimentation and interdisciplinary engineering work.,INFP,Chennai,Work in fintech analytics,Business Intelligence
U048,pranav,"Cloud security engineer specializing in IAM, encryption policies, and zero-trust architectures.",I enjoy securing large-scale distributed systems and preventing vulnerabilities.,ENTP,Nagpur,Build NLP-powered applications,IoT
U049,riya,"Frontend engineer focused on React performance, reusable components, and responsive design systems.",I enjoy turning ideas into intuitive user interfaces.,ESTJ,Pune,Lead cloud transformation projects,Automotive AI
U050,atharva,"AI researcher specializing in LLM fine-tuning, prompt engineering, and generative AI workflows.",I enjoy experimenting with cutting-edge AI systems and publishing findings.,ESFJ,Mumbai,Become full-stack engineer,Artificial Intelligence
U051,shravani,"Data analyst working on customer analytics, dashboard storytelling, and SQL reporting automation.",I enjoy simplifying business decisions through data.,INFJ,Bengaluru,Start edtech company,Healthcare Analytics
U052,akshay,"Backend developer skilled in FastAPI, PostgreSQL, Redis, and asynchronous API systems.",I enjoy backend performance tuning and scalable service design.,ENFP,Hyderabad,Research explainable AI,FinTech
U053,simran,"UX researcher focused on usability testing, surveys, and human-centered design processes.",I enjoy understanding user behavior and improving digital journeys.,ISTP,Delhi,Work in autonomous systems,Cybersecurity
U054,kunal,"IoT solutions engineer experienced in MQTT, ESP32, sensor networks, and edge intelligence.",I enjoy building smart systems for real-world automation.,ISFP,Chennai,Become DevOps specialist,Cloud Computing
U055,tanvi,"Cybersecurity researcher working on malware analysis, SOC workflows, and endpoint protection.",I enjoy deep investigation and building proactive defense systems.,ESTP,Nagpur,Build recommender systems,EdTech
U056,vishal,"Data scientist specializing in recommendation systems, customer segmentation, and NLP analytics.",I enjoy combining machine learning with practical business use cases.,ESFP,Pune,Work in business intelligence,E-commerce
U057,anjali,"Product strategist focused on market fit analysis, agile leadership, and feature prioritization.",I enjoy aligning business growth with technology roadmaps.,INTP,Mumbai,Lead UX strategy teams,Business Intelligence
U058,chinmay,"Software developer working on Flask APIs, deployment pipelines, and microservice integrations.",I enjoy backend logic and building production-ready systems.,ENTJ,Bengaluru,Develop smart IoT systems,IoT
U059,mitali,"AI ethics researcher focused on fairness, explainability, and responsible ML frameworks.",I enjoy studying the societal impact of intelligent systems.,ISFJ,Hyderabad,Become data engineer,Automotive AI
U060,soham,"Cloud data architect specializing in warehouse modeling, distributed storage, and analytics pipelines.",I enjoy designing scalable systems for high-volume data processing.,ENFJ,Delhi,Build computer vision products,Artificial Intelligence
